submission_id,request_id,participant_id,participant_session_id,image_id,survey_index,description,word_count,feedback,time_spent_seconds,is_survey,is_attention_check,attention_passed,flagged_too_fast,quality_score,alignment_score,ip_hash,user_agent,device_type,extra_metadata,tab_switch_count,page_close_attempts,network_disconnects,survey_time_spent_seconds,survey_page_views,survey_tab_switches,survey_page_close_attempts,survey_network_disconnects,survey_max_scroll_depth_pct,survey_clicks,survey_keypresses,created_at,attention_tier,attention_confidence,expected_term_recall,matched_term_count,expected_term_count,distinct_word_count,descriptive_token_count,writing_quality_score,behavior_risk_score,alignment_precision,alignment_recall,alignment_object_f1,alignment_relation_score,alignment_scene_consistency_score,alignment_wrong_object_penalty,alignment_natural_language_score,alignment_stuffing_penalty,consecutive_failures,hard_flag_triggered,soft_flag_triggered,supporting_signals,too_fast_score,too_fast_threshold_seconds,too_fast_margin_seconds,copy_paste_likelihood_score,typing_effort_risk,speed_risk,session_integrity_risk,watchlist_triggered,enforcement_status,soft_review_recommended,submission_id,time_before_typing_seconds,edit_count,backspace_count,avg_keystroke_interval_seconds,keystroke_variance,pause_count,avg_pause_duration_seconds,revision_bursts,hesitation_score,submitted_without_typing_pause,confidence_rating,difficulty_self_report,first_view_duration_seconds,writing_duration_seconds,object_mention_count,spatial_mention_count,reference_coverage,detail_density_score,id_img,image_id_img,url,is_active,edits_per_word,pauses_per_word,typing_speed,cognitive_load,quality_score_proxy,alignment_proxy,strain_index,split
550,6dd4a98a-cf2f-4559-bacc-40194790eb25,507,1023.0,64,1.0,The image shows a busy zoolike scene with several animals gathered around shallow water. A small elephant is walking through the water in the center while a tall giraffe stands on the right side. There are multiple monkeys including some swinging from ropes hanging from a large tree. In the background a few people are visible near a round structure and the whole setting looks bright lively and full of movement with sunlight coming through the trees.,77,This image had a lot going on but it was interesting because there were several animals in one frame. The elephant and giraffe stood out first and the monkeys made the scene feel playful and active.,242.7384,True,False,0,False,0.787,0.7157,b3ca80582ed352a8c1724c21cbcbf0dc821371e6abeba68690a9bb864561831f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",desktop,"{'seed_source': 'dynamic_live_backend', 'seed_submitted_at': '2026-04-10T16:23:17.645459+00:00'}",1,0,0,242.7384,1,1,0,0,97,6,616,2026-04-10 16:23:17.645459+00:00,0,0.0,0.0,0.0,0.0,59,0.0,0.7193,0.0544,0.6,1.0,0.75,0.0,1.0,0.0193,1.0,0.0,0,False,False,{},0.0,138.9,-103.84,0.1,0.0,0.0,0.09,False,normal,False,550,75.1374,456,39,0.582,2.3044,11,5.5738,4,0.8453,False,4,3,35.0,167.601,2,3,0.0,0.6447,64,64.svg,https://d15t657aq01nli.cloudfront.net/64.svg,True,5.922077922077922,0.14285714285714285,0.3172139224778609,4.1264679038088765,0.21605265510708263,0.10431478254471681,0.2495831119480346,train
278,81990170-f6eb-4979-ab8d-59e162e753dd,307,548.0,79,1.0,A cute fluffy brown teddy bear sits in a vibrant sunlit forest clearing surrounded by colorful wildflowers. The bear is smiling wearing a green and yellow striped scarf and gently holding a small white flower. In the background a small whimsical treehouse is visible among the lush trees and glowing light creating a cheerful magical children friendly scene.good picture,60,Nice picture,244.046,True,False,0,False,0.7687,0.8267,cdc34b72cd35791cf22e65017294e2dd32e73ad87c6b01fdca61f2125e46a927,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",mobile,"{'alignment': {'wrong': ['tree'], 'missed': [], 'correct': ['bear', 'flower', 'forest'], 'relation_hits': [['bear', 'in', 'forest']], 'style_metrics': {'token_count': 54.0, 'unique_ratio': 0.8519, 'sentence_count': 3.0, 'stuffing_penalty': 0.0, 'object_token_density': 0.0741, 'relation_term_density': 0.0741, 'repeated_bigram_ratio': 0.0, 'natural_language_score': 1.0}}, 'enforcement': {'combined_suspicion': False, 'enforcement_status': 'normal', 'watchlist_triggered': False, 'contradiction_signals': [], 'soft_review_recommended': False, 'participant_enforcement_score': 0.0}}",1,0,0,244.006,1,1,0,0,100,13,324,2026-04-02 09:25:35.104598+00:00,0,0.0,0.0,0.0,0.0,46,0.0,0.5989,0.0144,0.75,1.0,0.8571,0.3333,1.0,0.0104,1.0,0.0,0,False,False,{},0.0,104.74,-139.31,0.0,0.0,0.0,0.09,False,normal,False,278,11.596,315,175,0.73238534,22.851896,19,8.610579,12,0.7439,False,4,1,11.596,232.45,4,0,1.0,0.6669,79,79.svg,https://d15t657aq01nli.cloudfront.net/79.svg,True,5.25,0.31666666666666665,0.24585528957655525,3.1835867495706895,0.13322341914854507,0.9114604602122802,0.24702025825711496,test
279,4decb0d1-5b54-4696-b109-a79d91be5e87,307,548.0,36,2.0,The image displays a serene and majestic mountain landscape at either sunrise or sunset. The sky is painted with warm hues of orange and pink with fluffy clouds drifting above the peaks. In the foreground dark silhouettes of pine trees frame the view of the valley. A winding river or path cuts through the center of the scene leading the eye deeper into the valley and towards the large bright sun resting on the horizon. The mountains are layered in various shades of blue and purple creating a sense of depth and tranquility. This scenic illustration captures a peaceful moment in nature emphasizing the beauty of the natural world.,109,Nice picture,71.55,False,True,True,False,0.589,0.6592,cdc34b72cd35791cf22e65017294e2dd32e73ad87c6b01fdca61f2125e46a927,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",mobile,"{'alignment': {'wrong': ['cloud', 'eye', 'river'], 'missed': [], 'correct': ['mountain', 'sun', 'tree'], 'relation_hits': [], 'style_metrics': {'token_count': 105.0, 'unique_ratio': 0.7238, 'sentence_count': 6.0, 'stuffing_penalty': 0.0, 'object_token_density': 0.019, 'relation_term_density': 0.0762, 'repeated_bigram_ratio': 0.0288, 'natural_language_score': 1.0}}, 'attention': {'strict': True, 'suspicious': False, 'recall_weak': False, 'alignment_weak': False, 'core_term_count': 3, 'keyword_missing': False, 'distinct_word_count': 76, 'repetitive_template_detected': False}, 'enforcement': {'combined_suspicion': True, 'enforcement_status': 'normal', 'watchlist_triggered': False, 'contradiction_signals': ['high_copy_paste_low_effort', 'speed_pressure_with_low_effort'], 'soft_review_recommended': False, 'participant_enforcement_score': 0.2095}}",1,0,0,73.134,1,1,0,0,100,11,9,2026-04-02 09:26:47.834376+00:00,pass,1.0,1.0,3.0,3.0,76,65.0,0.6782,0.4425,0.5,1.0,0.6667,0.0,1.0,0.0275,1.0,0.0,0,False,False,"{'alignment_score': 0.6592, 'alignment_recall': 1.0, 'matched_term_count': 3, 'distinct_word_count': 76, 'expected_term_count': 3, 'expected_term_recall': 1.0, 'descriptive_token_count': 65}",0.5153,149.84,78.29,0.5445,0.5462,0.5153,0.09,False,normal,False,279,51.09,9,0,2.329,25.54998,1,15.684,0,0.8083,False,5,1,51.09,20.460001,6,2,1.0,0.8048,36,36.svg,https://d15t657aq01nli.cloudfront.net/36.svg,True,0.08256880733944955,0.009174311926605505,1.5234102026554857,2.4016246375869477,0.3594287139729675,0.9284830662830177,0.0036617790880211915,test
281,c089ba0e-1e18-4838-b84c-978c94fc5e1f,312,556.0,83,1.0,Shdhffjfjcjcjcj. Ekeidodkckckfkkrkrfk fjfjfj rigid fifjfj did krje fkdjjf forkful dkfkjfjf fkfjfj kc hdhfjjfjc fight fidjfj rjdjfj reje djdjfj rjdjfj rjdjfj rjdjfj j rjdjfj jjrjfjfj j rjdjfj krje fury rjdjfj rjdjfj rjdjfj Ruk Tu j u j u j j j h j h j h j h h h h h h h h h h h h h h h h,62,Thank you,279.646,True,False,0,False,0.5423,0.0419,cb89768cf99cd9a45369dcfdc5f31693423ac2a61f878d64cb1b1b71423f1d85,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",mobile,"{'alignment': {'wrong': [], 'missed': ['cafe', 'dessert', 'panda'], 'correct': [], 'relation_hits': [], 'style_metrics': {'token_count': 31.0, 'unique_ratio': 0.7097, 'sentence_count': 1.0, 'stuffing_penalty': 0.0507, 'object_token_density': 0.0, 'relation_term_density': 0.0, 'repeated_bigram_ratio': 0.1333, 'natural_language_score': 0.6616}}, 'enforcement': {'combined_suspicion': False, 'enforcement_status': 'normal', 'watchlist_triggered': False, 'contradiction_signals': [], 'soft_review_recommended': False, 'participant_enforcement_score': 0.0}}",7,0,0,279.621,1,7,0,0,100,37,306,2026-04-02 09:56:28.529773+00:00,0,0.0,0.0,0.0,0.0,22,0.0,0.2994,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.6616,0.0507,0,False,False,{},0.0,125.54,-154.11,0.1,0.0,0.0,0.45,False,normal,False,281,210.67,325,7,0.20529012,0.99158454,2,10.556,1,0.6828,False,3,3,210.67,68.976,0,0,0.0,0.4671,83,83.svg,https://d15t657aq01nli.cloudfront.net/83.svg,True,5.241935483870968,0.03225806451612903,0.22170887479170093,4.001650712427288,0.06690983742768017,0.13724971410131334,0.16699331307176968,train
590,d6dd00b5-ab3c-4bd2-87b5-3564b0cdf083,529,1085.0,144,1.0,I see a simple cartoon kitchen scene with three small yellow characters cooking around a stove. One character is standing on the left mixing something in a bowl another is on the stove holding a fork and a third one is near the oven at the bottom right. There are kitchen tools hanging on the wall a pan in the middle with food flying up and a clean white background that keeps everything easy to see. The whole scene feels playful busy and a little funny.,86,The picture feels light and playful. I liked the kitchen setup and the little characters because they make the scene fun to look at and easy to describe.,178.521,True,False,0,False,0.844,0.7213,1f17d41ff44b0f6375c5c3617759dcd7a3364ea706f388f85d13508573fa1897,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",mobile,"{'seed_source': 'dynamic_live_backend', 'seed_submitted_at': '2026-04-10T17:22:07.714054+00:00'}",0,0,0,191.1938,1,0,0,0,100,7,688,2026-04-10 17:22:07.714054+00:00,0,0.0,0.0,0.0,0.0,60,0.0,0.7457,0.0346,1.0,0.6667,0.8,0.0,0.8,0.0,1.0,0.0,0,False,False,{},0.0,174.32,-4.2,0.0864,0.0,0.0,0.0,False,normal,False,590,29.8287,681,66,0.3287,1.9717,9,5.1571,5,0.8064,False,5,3,23.8535,148.6923,0,5,0.0,0.659,144,110.jpg,https://d15t657aq01nli.cloudfront.net/110.jpg,True,7.9186046511627906,0.10465116279069768,0.4817360422583338,3.5462718585563504,0.24467721658723576,0.11854043923643406,0.37703797742250145,train
551,07f2a602-71b5-4a48-aac5-306d4be49d47,507,1023.0,4,0.0,The image is a soft cartoon illustration of an orange fox sitting in a wintery forest setting. The fox has large pointed ears round dark eyes pink cheeks and a cream scarf wrapped around its neck. Around it there are small mushrooms pale trees and snowy shapes in the background. The colors are light and muted which makes the fox stand out clearly as the main subject in the middle of the scene.,73,This picture was easy to describe because the fox is large centered and very clear against the soft background. I also liked the scarf and mushrooms because they added a nice cozy winter feel.,145.7414,False,True,True,False,0.8036,0.7867,b3ca80582ed352a8c1724c21cbcbf0dc821371e6abeba68690a9bb864561831f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",desktop,"{'attention': {'strict': True}, 'seed_source': 'dynamic_live_backend', 'seed_submitted_at': '2026-04-10T16:27:36.645459+00:00'}",3,0,0,172.7916,1,3,0,0,100,13,584,2026-04-10 16:27:36.645459+00:00,pass,1.0,1.0,3.0,3.0,55,43.0,0.7194,0.0432,0.75,1.0,0.8571,0.0,1.0,0.0104,1.0,0.0,0,False,False,"{'alignment_score': 0.7867, 'alignment_recall': 1.0, 'matched_term_count': 3, 'distinct_word_count': 55, 'expected_term_count': 3, 'expected_term_recall': 1.0, 'descriptive_token_count': 43}",0.0,87.16,-58.58,0.0,0.0,0.0,0.27,False,normal,False,551,8.6756,125,76,1.2061,20.0,4,12.0,5,0.5721,False,5,2,7.1421,137.0658,2,1,0.0,0.5882,4,4.svg,https://d15t657aq01nli.cloudfront.net/4.svg,True,1.7123287671232876,0.0547945205479452,0.5008871878546521,2.5186498878824013,0.19302420783020316,0.10051606631499087,0.10066144635223724,train
120,015778a5-d987-402d-827f-22da23aae505,128,233.0,43,2.0,This image shows of fantasy style Dragon standing proudly on glowing blue crystals the Dragon has a dark purple body with the lighter under belly bright Orange horns and large wings shaded in red and orange tones around its small the background appears magical field with softlight sparkles and floating Birds creating mystical atmosphere the overall screen feels like digital game or story book,64,Heard,197.452,False,True,False,False,0.5202,0.4138,65b643f4ff671a9ea79390d7412f54989697fee73e2b76593d95269bb9cc0a68,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",mobile,"{'alignment': {'wrong': ['bird'], 'missed': ['moon', 'star'], 'correct': ['dragon'], 'relation_hits': [], 'style_metrics': {'token_count': 63.0, 'unique_ratio': 0.873, 'sentence_count': 1.0, 'stuffing_penalty': 0.0, 'object_token_density': 0.0317, 'relation_term_density': 0.1111, 'repeated_bigram_ratio': 0.0, 'natural_language_score': 0.8667}}, 'attention': {'strict': True, 'suspicious': True, 'recall_weak': True, 'alignment_weak': True, 'core_term_count': 3, 'keyword_missing': False, 'distinct_word_count': 55, 'repetitive_template_detected': False}, 'enforcement': {'combined_suspicion': False, 'enforcement_status': 'watchlist', 'watchlist_triggered': True, 'contradiction_signals': ['attention_fail_requires_quality_cap'], 'soft_review_recommended': False, 'participant_enforcement_score': 0.2476}}",1,0,0,199.449,1,1,0,0,100,9,110,2026-03-30 10:21:18.702305+00:00,fail,0.45,0.3333,1.0,3.0,55,43.0,0.5384,0.2944,0.5,0.3333,0.4,0.0,0.6,0.0142,0.8667,0.0,1,False,False,"{'alignment_score': 0.4138, 'alignment_recall': 0.3333, 'matched_term_count': 1, 'distinct_word_count': 55, 'expected_term_count': 3, 'expected_term_recall': 0.3333, 'descriptive_token_count': 43}",0.0,101.5,-95.95,0.0,0.0,0.0,0.09,True,watchlist,False,120,70.925,108,75,1.1570281,3.0237732,20,3.8559,7,0.9209,False,4,5,70.925,126.527,2,1,0.3333,0.6329,43,43.svg,https://d15t657aq01nli.cloudfront.net/43.svg,True,1.6875,0.3125,0.32412940866641005,5.2514472788045365,0.1683793530643303,0.40407442622430967,0.09182098964081922,train
282,374bce94-b718-467d-b30f-947acaa1171e,312,556.0,11,2.0,Hehe ed r r r r r r r d e c v t t g t t f t t d r t f t t f t t rd v y t t t t f t t t f d t t f r t f r t g g t.  T t t t t t t,61,Thanks,63.172,False,True,False,False,0.1902,0.0688,cb89768cf99cd9a45369dcfdc5f31693423ac2a61f878d64cb1b1b71423f1d85,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",mobile,"{'alignment': {'wrong': [], 'missed': ['butterfly', 'deer', 'flower'], 'correct': [], 'relation_hits': [], 'style_metrics': {'token_count': 3.0, 'unique_ratio': 1.0, 'sentence_count': 1.0, 'stuffing_penalty': 0.0, 'object_token_density': 0.0, 'relation_term_density': 0.0, 'repeated_bigram_ratio': 0.0, 'natural_language_score': 0.4917}}, 'attention': {'strict': True, 'suspicious': True, 'recall_weak': True, 'alignment_weak': True, 'core_term_count': 3, 'keyword_missing': True, 'distinct_word_count': 3, 'repetitive_template_detected': False}, 'enforcement': {'combined_suspicion': False, 'enforcement_status': 'watchlist', 'watchlist_triggered': True, 'contradiction_signals': ['attention_fail_requires_quality_cap'], 'soft_review_recommended': False, 'participant_enforcement_score': 0.2476}}",1,0,0,75.274,2,2,0,0,100,10,135,2026-04-02 09:57:43.228650+00:00,fail,0.0,0.0,0.0,3.0,3,3.0,0.1878,0.5623,0.0,0.0,0.0,0.0,0.0,0.0,0.4917,0.0,1,False,False,"{'alignment_score': 0.0688, 'alignment_recall': 0.0, 'matched_term_count': 0, 'distinct_word_count': 3, 'expected_term_count': 3, 'expected_term_recall': 0.0, 'descriptive_token_count': 3}",0.282,87.14,23.97,0.3687,0.3424,0.282,0.09,True,watchlist,False,282,36.193,142,0,0.18292199,0.41469935,1,7.695,0,0.636,False,4,3,36.193,26.979,0,0,0.0,0.1508,11,11.svg,https://d15t657aq01nli.cloudfront.net/11.svg,True,2.3278688524590163,0.01639344262295082,0.9656176787184196,3.3898208001042027,0.00883836179790716,0.12828334838669248,0.07084182411785933,train
283,7e6088b5-cbaa-4bc9-b70e-63e2315f60b1,316,562.0,87,1.0,This Conversation with Gemini Gemini said This illustration depicts a cozy sunlit living room filled with four energetic and sleepy dogs. In the center a Pug is curled up and napping soundly in a plush grey dog bed. To the left a Corgi is focused on its meal eating from a metal bowl near a brick fireplace. On the right side of the room a small whiteandbrown Jack Russell Terrier is playfully tugging on a cloth hanging from a wooden coffee table. In the foreground a Golden Retriever puppy looks directly at the viewer with large curious eyes. The scene is full of charming details like scattered chew bones potted plants on a bookshelf and a colorful patterned rug that ties the warm domestic atmosphere together.,126,Greate,40.659,True,False,0,True,0.7524,0.6324,3a1589f8b2c6fe836c6095ee569b66c87d17f9f97650c0a16d79ff147c6f9371,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",mobile,"{'alignment': {'wrong': ['eye'], 'missed': ['pet bed'], 'correct': ['dog', 'living room'], 'relation_hits': [], 'style_metrics': {'token_count': 114.0, 'unique_ratio': 0.7895, 'sentence_count': 6.0, 'stuffing_penalty': 0.0, 'object_token_density': 0.0088, 'relation_term_density': 0.1053, 'repeated_bigram_ratio': 0.0088, 'natural_language_score': 1.0}}, 'enforcement': {'combined_suspicion': False, 'enforcement_status': 'normal', 'watchlist_triggered': False, 'contradiction_signals': [], 'soft_review_recommended': False, 'participant_enforcement_score': 0.0}}",0,0,0,519.854,2,2,0,1,100,39,342,2026-04-02 10:34:16.466452+00:00,0,0.0,0.0,0.0,0.0,90,0.0,0.6621,0.0581,0.6667,0.6667,0.6667,0.0,0.8,0.0117,1.0,0.0,0,False,False,{},0.4986,198.09,157.43,0.0887,0.018,0.4986,0.0,False,normal,False,283,6.3059998,22,4,1.533238,21.801706,3,9.227,1,0.5259,False,5,1,6.3059998,34.353,2,4,0.3333,0.7627,87,87.svg,https://d15t657aq01nli.cloudfront.net/87.svg,True,0.1746031746031746,0.023809523809523808,3.0989448830517228,1.8370408581242441,0.4460121313568702,0.3646489803534586,0.01209872593920838,train
496,1f45bfdd-5e46-4522-9aef-14271c14cc96,480,942.0,67,1.0,The image shows two small tabby kittens sitting on pebbled ground near water during warm sunset light. One kitten faces forward while the other turns toward it creating a calm interaction between them. The bright glow behind them outlines their fur and adds depth to the scene. Rocks small plants and soft reflections in the background make the image feel peaceful intimate and emotionally warm overall.,66,The two kittens and warm backlight gave a simple but emotional scene that was easy to explain.,70.0,True,False,0,False,0.7229,0.5679,69359af70015b775b0a62ee49304a5195d3d9927730ada326748b6c66c41a563,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",desktop,"{'seed_source': 'dynamic_live_backend', 'seed_submitted_at': '2026-04-10T11:37:05.340717+00:00'}",0,0,0,74.7854,1,0,0,0,100,9,528,2026-04-10 11:37:05.340717+00:00,0,0.0,0.0,0.0,0.0,55,0.0,0.6073,0.0491,0.5,0.6667,0.5714,0.0,0.8,0.0208,1.0,0.0,0,False,False,{},0.2508,123.34,53.34,0.1,0.0,0.2508,0.0,False,normal,False,496,53.9201,25,16,2.5,2.9379,4,12.0,1,0.8292,False,4,3,35.0,30.0,4,3,0.0,0.6392,67,67.svg,https://d15t657aq01nli.cloudfront.net/67.svg,True,0.3787878787878788,0.06060606060606061,0.9428571428571428,3.844589151769488,0.17316140386731166,0.11530057849477715,0.019873370310503038,train
